crypto,coinbase,kraken,average_mid_price
BTC,69149.57500000001,69150.25,69149.9125
ETH,3777.44,3777.245,3777.3424999999997
SOL,166.23000000000002,166.245,166.2375
XRP,0.52015,0.519995,0.5200724999999999
DOGE,0.16022999999999998,0.1602689,0.16024945
ADA,0.45605,0.4558225,0.45593625000000004
AVAX,35.635000000000005,35.644999999999996,35.64
SHIB,2.4655e-05,2.4655e-05,2.4655e-05
DOT,7.105,7.10765,7.106325
LINK,17.646,17.660004999999998,17.6530025
MATIC,0.70655,0.70665,0.7066
UNI,9.625,9.6235,9.62425
BCH,468.225,468.145,468.185
ICP,12.036999999999999,12.038499999999999,12.037749999999999
NEAR,7.242,7.243,7.2425
APT,8.995000000000001,8.9931,8.994050000000001
LTC,83.14500000000001,83.16,83.1525
FIL,5.810499999999999,5.8055,5.808
ATOM,8.4065,8.4069,8.4067
ETC,28.755000000000003,28.762999999999998,28.759
