"Symbol","Name","DACS Sector","DACS Industry Group","DACS Industry","Weight"
"btc","Bitcoin","Currency","Transparent","Transparent DeFi Currency","32.80404177859429"
"eth","Ethereum","Smart Contract Platform","Layer 1","Layer 1","20.69343870910979"
"sol","Solana","Smart Contract Platform","Layer 1","Layer 1","13.293801682275785"
"xrp","XRP","Currency","BaaS","Payments","5.689389954333249"
"doge","Dogecoin","Currency","Transparent","Transparent DeFi Currency","4.305964408188199"
"ada","Cardano","Smart Contract Platform","Layer 1","Layer 1","3.269895216780442"
"avax","Avalanche","Smart Contract Platform","Layer 1","Layer 1","2.606692764051021"
"shib","SHIBA INU","Currency","Transparent","Transparent DeFi Currency","2.7389511106241966"
"dot","Polkadot","Smart Contract Platform","Layer 0","Layer 0","2.001334324883733"
"link","Chainlink","Computing","Oracle","Oracle","1.6697353010928007"
"matic","Polygon","Smart Contract Platform","Layer 2","Sidechains","1.367356126012521"
"uni","Uniswap","DeFi","Exchanges","AMM","1.1308715820629431"
"bch","Bitcoin Cash","Currency","Transparent","Transparent DeFi Currency","1.7642232849603856"
"icp","Internet Computer","Smart Contract Platform","Layer 1","Layer 1","1.1079069342308818"
"near","NEAR Protocol","Smart Contract Platform","Layer 1","Layer 1","1.5151037409702777"
"apt","Aptos","Smart Contract Platform","Layer 1","Layer 1","0.6908341232371521"
"ltc","Litecoin","Currency","Transparent","Transparent DeFi Currency","1.2227913164517936"
"fil","Filecoin","Computing","Shared Storage","Shared Storage","0.6162083490149912"
"atom","Cosmos","Smart Contract Platform","Layer 0","Layer 0","0.7063003711171782"
"etc","Ethereum Classic","Smart Contract Platform","Layer 1","Layer 1","0.8051589220083514"
